기간,연료단가,,,,,열량단가,,,,,연료비단가,,,,
,원자력,유연탄,무연탄,유류,LNG,원자력,유연탄,무연탄,유류,LNG,원자력,유연탄,무연탄,유류,LNG
,원/kWh,원/ton,원/ton,원/kl,원/ton,원/Gcal,원/Gcal,원/Gcal,원/Gcal,원/Gcal,원/kWh,원/kWh,원/kWh,원/kWh,원/kWh
2023/04,6.37,263099.07,186249.33,1231993.27,1317921.14,2562.9,49688.046,39706,134457.001,101298.847,6.37,110.72,100.533,316.834,178.37
2023/03,6.36,276933.349,193308.062,1239555.979,1677697.038,2560.866,51257.591,39896.5,135303.265,128754.613,6.36,114.135,101.015,318.381,227.617
2023/02,6.36,293231.499,198334.083,1282790,1979548.67,2560.79,54110.05,41857.5,140279.322,151816.526,6.36,120.412,105.981,331.06,266.344
2023/01,6.36,306051.518,209345.089,1468224.58,1918688.304,2559.286,56891.443,47125.5,160489.946,147230.182,6.36,126.43,119.319,379.015,258.667
2022/12,6.368,328455.927,209214.252,1477537.51,1976708.988,2566.794,61854.066,44311.5,161972.124,151718.183,6.368,137.572,112.194,381.051,266.79
2022/11,6.37,295558.65,201385.222,1452600.455,1998426.807,2567.882,56400.131,43587,159000.565,153802.183,6.37,125.277,110.359,373.958,270.375
2022/10,6.367,305296.466,168023.211,1520785.049,1975472.425,2566.785,57603.469,47613.5,165930.149,151874.832,6.367,127.965,120.554,390.623,267.254
2022/09,6.347,307536.388,168171.238,1526182.326,1845367.274,2558.447,58218.514,48918.5,166114.255,141699.087,6.35,129.39,123.86,390.49,249.247
2022/08,6.348,309946.771,159307.397,1688821.651,1577135.898,2559.045,58803.507,46464.5,183240.286,121313.68,6.348,130.541,117.645,428.339,213.847
2022/07,6.353,269392.277,165093.583,1530888.814,1158488.042,2560.834,50898.659,38383.5,166598.638,89278.974,6.353,113.221,97.185,389.626,156.9
2022/06,6.354,244471.725,98871.888,1499384.267,1037494.994,2561.215,45803.891,30131,163332.54,79989.596,6.354,101.858,76.29,382.371,139.868
